,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mood
0,spotify:track:74IQCxI4nws964fic1Q4pv,0.143,0.676,0.8,0.0,0.602,-6.409,0.0516,107.501,0.654,happy
1,spotify:track:6Z40IRipd6pNcUULY6SXng,0.246,0.572,0.679,0.0,0.0835,-7.239,0.536,208.196,0.838,happy
2,spotify:track:3NF3c438tAguEcWvU4b5iA,0.853,0.679,0.457,0.000402,0.0974,-9.084,0.0373,91.988,0.443,sad
3,spotify:track:6rcTPn1CwOyuskilY12IqL,0.0484,0.722,0.926,0.000573,0.261,-4.685,0.142,100.978,0.778,happy
4,spotify:track:6geYV8EMMVN5hytPHpXtIS,0.405,0.701,0.727,0.0,0.0514,-7.584,0.039,135.069,0.876,happy
5,spotify:track:57xczqwxDF0HZsuPyVEJXa,0.767,0.695,0.501,0.0041,0.106,-6.552,0.0316,120.076,0.511,sad
6,spotify:track:4GC2IwmYrlC12YfPfHPLQe,0.61,0.77,0.834,1.28e-06,0.0844,-3.375,0.0428,100.997,0.628,happy
7,spotify:track:7LSlA4HRXqhJJeQjq3Hm4R,0.281,0.676,0.946,0.639,0.0454,-3.181,0.237,82.464,0.519,happy
8,spotify:track:1pYH4FsmvkbALxFGzZkrpF,0.538,0.508,0.983,2.97e-05,0.0695,-3.576,0.245,79.927,0.589,happy
9,spotify:track:7h8pQvwKxRYTt3oRGjNT93,0.628,0.583,0.644,0.0,0.0941,-6.64,0.0378,114.953,0.547,sad
10,spotify:track:1JkSiGGPZzSJ6MlTNn1zsb,0.822,0.612,0.703,2.18e-05,0.558,-6.45,0.039,163.965,0.684,happy
11,spotify:track:7mNQwVYgoB3mtjkjCKsbXM,0.183,0.713,0.727,1.22e-06,0.0756,-7.166,0.0388,97.025,0.515,happy
12,spotify:track:4yBodXwevp3b7AwbVQR3j2,0.136,0.853,0.863,1.95e-05,0.0465,-4.456,0.22,145.0,0.645,happy
13,spotify:track:3S1bUkPhTRTNkSCxhkUgP0,0.504,0.743,0.81,0.000175,0.0683,-10.2,0.0578,96.992,0.634,happy
14,spotify:track:2cVJDlu9jmkPUeuJxA6v8i,0.3,0.756,0.816,0.0,0.172,-1.418,0.0972,100.04,0.899,happy
15,spotify:track:5PsmOImV4eJxcTK8ZxSPJz,0.289,0.562,0.516,0.0,0.136,-5.746,0.0266,133.875,0.279,sad
16,spotify:track:1HobaVS51OdBZqNmqt1TX7,0.437,0.751,0.571,6e-05,0.357,-7.829,0.236,78.996,0.571,sad
17,spotify:track:0dnDTvdUco2UbaBjUtPxNS,0.753,0.666,0.644,0.000262,0.124,-8.964,0.145,115.1,0.89,sad
18,spotify:track:0QzyKPpKpLhjQKU2Ur4uV3,0.886,0.606,0.407,0.00067,0.145,-8.214,0.0286,139.855,0.605,sad
19,spotify:track:1m6R9gLcwA4E9ecWpo4qsY,0.858,0.266,0.539,0.00021,0.338,-7.841,0.0402,199.845,0.557,sad
20,spotify:track:6OjiOJFa51sGCyBK9qOfFo,0.707,0.896,0.582,0.0,0.0603,-4.773,0.0933,97.966,0.855,sad
21,spotify:track:1C9SYGI40nNYh98gN87Fwr,0.469,0.809,0.665,1.08e-05,0.153,-5.495,0.036,140.96,0.959,happy
22,spotify:track:0WoXNjPmNxccicpCj1LPtu,0.555,0.816,0.941,0.000189,0.0541,-4.777,0.0621,128.066,0.864,happy
23,spotify:track:7xIGNwEgAAdQ0bRgWph5cJ,0.546,0.623,0.386,0.0047,0.118,-10.502,0.0763,180.167,0.269,sad
24,spotify:track:3j9DrRebdWK1jkpOw9FZUy,0.91,0.568,0.663,4.82e-05,0.124,-6.179,0.0345,165.203,0.808,sad
25,spotify:track:7EIN4VQWUxH8OQQd83ebgA,0.846,0.558,0.417,0.00128,0.343,-8.573,0.0506,79.095,0.786,sad
26,spotify:track:0i5KYCaQs1xY7z9MWCFoXW,0.21,0.661,0.559,0.000118,0.116,-8.829,0.0508,90.009,0.388,sad
27,spotify:track:6LFJ5QC9Pa9RAnEzBymFTZ,0.81,0.467,0.561,0.0116,0.114,-7.734,0.0315,179.938,0.573,sad
28,spotify:track:1lOcaNzf3u1CGjV88g8MpW,0.203,0.905,0.85,0.0443,0.0878,-4.83,0.173,105.027,0.631,happy
29,spotify:track:7d7BpHIZL65AJNi9FUFCme,0.487,0.599,0.51,0.0,0.217,-7.519,0.0255,96.044,0.524,sad
30,spotify:track:05dYneZZZ2mytSmnsvzFoW,0.288,0.775,0.86,0.0,0.0514,-5.869,0.269,131.882,0.644,happy
31,spotify:track:1xkeK8WR55UkcVAW7wFaxY,0.348,0.567,0.598,0.0,0.129,-6.579,0.0471,173.95,0.353,sad
32,spotify:track:06zDtXbVc9gnMHirrt6i99,0.197,0.71,0.565,0.0,0.172,-9.57,0.0391,119.954,0.723,happy
33,spotify:track:5WnlpdU8nHfbogtkAl6k8E,0.0916,0.785,0.746,1.98e-05,0.121,-2.672,0.149,189.988,0.864,happy
34,spotify:track:4uXJADmybUHUgycBWFHeq6,0.415,0.663,0.913,0.000496,0.158,-4.681,0.152,187.552,0.805,happy
35,spotify:track:1Y5lew9Z79LKXNLO4vEeHe,0.592,0.67,0.642,2.28e-06,0.15,-8.276,0.129,119.794,0.88,happy
36,spotify:track:5JLGvoeMHpVLMPYsqtXvqv,0.353,0.723,0.637,1.15e-05,0.104,-7.004,0.0928,172.14,0.732,happy
37,spotify:track:7GnqqySAT1HJj6qmOOYGT7,0.208,0.793,0.78,0.0,0.167,-5.12,0.136,138.058,0.872,happy
38,spotify:track:7rlCMRioM2TkdhHdnXCpsr,0.412,0.82,0.801,0.000193,0.054,-4.897,0.185,153.99,0.963,happy
39,spotify:track:0P8TCqG9wsZPUnvxqLNZ5k,0.252,0.83,0.61,1.27e-05,0.115,-6.293,0.0555,96.011,0.608,happy
40,spotify:track:3KUD3u6xFEIewEQVppwXbH,0.317,0.908,0.895,5.15e-05,0.142,-3.161,0.0826,120.776,0.794,happy
41,spotify:track:4kEd65XC9mEFTiscE6f6N9,0.379,0.653,0.577,9.31e-05,0.104,-6.858,0.0374,113.108,0.358,sad
42,spotify:track:2xr3uvrbq6OKCUX2puxj8q,0.0439,0.555,0.834,1.05e-05,0.0448,-6.084,0.315,82.484,0.709,happy
43,spotify:track:67Ws2eKhfhzdAv12gRLqo5,0.116,0.725,0.675,4.39e-05,0.099,-6.225,0.0444,92.017,0.641,happy
44,spotify:track:2yIU71Z6VgPOEaLp0VwFpN,0.821,0.645,0.446,0.0,0.101,-6.504,0.173,79.239,0.801,sad
45,spotify:track:5LWtYEKVLEpk4FBdGhZKxy,0.0207,0.821,0.907,2.31e-05,0.364,-3.067,0.104,120.061,0.486,happy
46,spotify:track:4wHZiaLsuI9aQdWv4f3Esd,0.743,0.71,0.529,0.00577,0.183,-9.729,0.0391,130.036,0.505,sad
47,spotify:track:2kW6AMK99mnEO6X01r2E3T,0.848,0.575,0.296,1.19e-06,0.209,-9.379,0.0257,97.902,0.502,sad
48,spotify:track:7yq2TcaS5ECZGrSu4fPwdL,0.791,0.687,0.24,5.84e-06,0.127,-8.65,0.0412,177.729,0.575,sad
49,spotify:track:47hP2BJPCOMyYKT5WQ9evZ,0.606,0.411,0.654,1.01e-05,0.175,-5.458,0.15,62.065,0.57,sad
50,spotify:track:3XwpSZtT3clAjJqVW0Cgoi,0.366,0.278,0.55,0.000368,0.109,-7.417,0.0361,92.433,0.423,sad
51,spotify:track:5bf5PpAQmxCbXBcRQa5R3C,0.104,0.655,0.764,1.31e-06,0.148,-6.364,0.0429,139.911,0.222,happy
52,spotify:track:0K2CU7TTmFBSbFm1Lt50Sx,0.00948,0.514,0.828,0.000142,0.0687,-4.864,0.0447,123.933,0.547,happy
53,spotify:track:2PNF3C5EhT9Asa7XdEi18F,0.28,0.646,0.707,3.19e-05,0.136,-7.498,0.199,177.014,0.602,happy
54,spotify:track:60U549v4aGcURN9p3jdMdE,0.534,0.636,0.632,1.6e-05,0.0455,-8.744,0.0375,80.064,0.763,happy
55,spotify:track:6c85Eub4Ze7Jyhxv0xUrm3,0.397,0.631,0.941,0.0,0.0312,-4.162,0.278,79.946,0.88,happy
56,spotify:track:2oMVPX0asvUfRfap0iEmXv,0.438,0.389,0.591,0.000418,0.217,-3.61,0.045,179.992,0.32,sad
57,spotify:track:6rji5mwjuHRuhozNhn8DG8,0.123,0.392,0.725,0.0,0.193,-5.103,0.0504,78.453,0.313,happy
58,spotify:track:2LTgKIErzHLjtQjIEkGrU5,0.915,0.404,0.293,0.0,0.105,-10.534,0.0337,129.815,0.115,sad
59,spotify:track:3edo3q894PZFxsbDqqsm6r,0.215,0.631,0.582,0.0,0.17,-9.365,0.0531,159.959,0.49,sad
60,spotify:track:0Z3zGNsygprNlSMAX6vAvc,0.33,0.78,0.68,2.85e-05,0.0677,-3.939,0.0279,101.021,0.486,sad
61,spotify:track:7tXaDnRF8OVbcecl0KurVn,0.43,0.506,0.617,0.0,0.0815,-6.677,0.0355,149.931,0.358,sad
62,spotify:track:14M1StehpwsydSGGy8z9eq,0.849,0.4,0.346,0.0,0.258,-7.717,0.0311,149.757,0.248,sad
63,spotify:track:6Mams2ZPHqDzPyQD1eM5x0,0.609,0.808,0.717,2.42e-06,0.0925,-7.768,0.129,97.001,0.821,happy
64,spotify:track:1T0Zzm3hIT08RMFyCpaX6Z,0.283,0.404,0.687,0.0,0.267,-5.18,0.0606,73.799,0.524,happy
65,spotify:track:5a7RaYvPiV2ThtSqpS2m4x,0.504,0.687,0.47,2.2e-06,0.178,-6.384,0.0296,128.9,0.349,sad
66,spotify:track:27TKZQyCcXqwNZIDBc92yT,0.653,0.604,0.737,0.000519,0.0966,-6.635,0.0918,171.954,0.585,happy
67,spotify:track:5YMBmxKfzxs4jwwrb8FLcy,0.422,0.81,0.523,0.0,0.0839,-5.567,0.0479,136.951,0.6,sad
68,spotify:track:4KOG5lRsY1Ja55bids06vB,0.285,0.752,0.538,0.000258,0.0856,-6.795,0.0483,75.007,0.489,sad
69,spotify:track:0v9u1rAlMAoFHFz6oCJ57U,0.566,0.802,0.507,6.36e-05,0.243,-5.298,0.0511,84.991,0.706,sad
70,spotify:track:4XgpSQ4nGBBqu8iNNFCYLH,0.445,0.822,0.594,1.01e-05,0.109,-6.316,0.0342,123.928,0.792,sad
71,spotify:track:4xm7NTpUd9wJNxjvSHMeyQ,0.64,0.676,0.81,2.88e-06,0.165,-6.194,0.038,110.036,0.616,happy
72,spotify:track:1TbAX8IybA1SCy4z4rNTpn,0.285,0.668,0.872,0.0621,0.0875,-5.654,0.0992,131.998,0.83,happy
73,spotify:track:68VAOfblXRWiDkeq1jKV3Q,0.0716,0.604,0.657,0.0041,0.135,-6.688,0.0803,196.082,0.589,happy
